Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint leftAnkle,[1452.29711546  721.38212926]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_041.jpg,Pose #0,Keypoint rightAnkle,[1534.44912165  505.79037594]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint nose,[378.50504997 637.10268353]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint leftEye,[353.32242879 660.20372741]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint rightEye,[355.66600031 603.8419127 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint leftEar,[375.0495805  698.32392645]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint rightEar,[390.49457778 570.05253489]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint leftShoulder,[525.10882718 752.15189209]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint rightShoulder,[547.42246279 531.37205282]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint leftElbow,[734.16676813 839.04287034]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint rightElbow,[792.52278651 446.97449335]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint leftWrist,[887.81894348 936.27240603]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint rightWrist,[975.84295619 349.56617034]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint leftHip,[891.7303327  736.57408865]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint rightHip,[951.13493586 558.96774576]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint leftKnee,[1156.71957053  734.6109749 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint rightKnee,[1241.99343394  533.2458665 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint leftAnkle,[1352.35102084  713.44469229]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_042.jpg,Pose #0,Keypoint rightAnkle,[1532.87678232  509.70998304]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint nose,[403.36601007 654.20859224]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint leftEye,[378.76435486 680.5442366 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint rightEye,[382.87432945 624.94343113]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint leftEar,[405.40494666 716.18281444]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint rightEar,[413.24560575 591.89354462]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint leftShoulder,[560.36447635 788.11351328]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint rightShoulder,[578.34431185 534.25241426]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint leftElbow,[756.62642011 862.77177734]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint rightElbow,[807.71570685 475.59227861]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint leftWrist,[896.50530959 934.7730103 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint rightWrist,[987.03406315 402.75614386]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint leftHip,[938.86895978 743.04630265]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint rightHip,[978.88266139 572.406476  ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint leftKnee,[1226.9341987   731.61026364]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint rightKnee,[1240.32244641  550.95862617]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint leftAnkle,[1515.2820949   731.72394506]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_043.jpg,Pose #0,Keypoint rightAnkle,[1533.95007585  520.81803812]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint nose,[420.19004079 661.31334283]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint leftEye,[394.37909882 685.94826649]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint rightEye,[397.65683994 630.9326097 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint leftEar,[421.81923338 722.2072975 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint rightEar,[432.73504921 599.37085935]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint leftShoulder,[571.46059162 793.13727971]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint rightShoulder,[586.1735607  549.72139143]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint leftElbow,[765.86060035 864.13602454]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint rightElbow,[815.22637244 488.57597212]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint leftWrist,[917.03815212 930.45028822]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint rightWrist,[990.98517605 421.59472001]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint leftHip,[932.91907005 741.8403586 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint rightHip,[945.93137107 576.45162883]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint leftKnee,[1218.7367432   736.27419414]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint rightKnee,[1215.81764262  556.16745308]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint leftAnkle,[1453.78197594  728.5847585 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_044.jpg,Pose #0,Keypoint rightAnkle,[1520.08646213  546.85434261]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint nose,[434.8579317  661.83508654]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint leftEye,[411.07736154 686.81337504]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint rightEye,[413.89861373 631.7305709 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint leftEar,[438.71818388 723.9999347 ]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint rightEar,[448.4992977  599.41761012]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint leftShoulder,[584.35397703 792.97348884]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint rightShoulder,[592.43135392 561.53414254]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint leftElbow,[784.4311639  853.03835649]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint rightElbow,[819.04917902 487.26272563]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint leftWrist,[947.95372474 919.39118723]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint rightWrist,[992.63596193 405.30172215]
Image ./images/my_vid_to_pic_test\VID_20190911_213627_045.jpg,Pose #0,Keypoint leftHip,[950.6645259  735.82625346]
